depto,munic,sex,urban_rural,cause,year_departure,age_group_emigration,emigrants,depto_name,dept_geo_code
1,101,female,rural,Bajos ingresos,2018,20-24,93.12455299999999,Atlántida,HNAT
1,101,female,rural,Bajos ingresos,2019,25-29,93.12455299999999,Atlántida,HNAT
1,101,female,rural,Desempleo,2020,5-9,93.12455299999999,Atlántida,HNAT
1,101,female,rural,Desempleo; En búsqueda de un nuevo empleo,2020,30-34,93.12455299999999,Atlántida,HNAT
1,101,female,rural,Desempleo; En búsqueda de un nuevo empleo,2023,20-24,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Reunificación familiar,2018,10-14,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Reunificación familiar,2019,0-4,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Reunificación familiar,2019,5-9,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Reunificación familiar,2020,10-14,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Reunificación familiar,2022,0-4,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Reunificación familiar,2023,0-4,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Reunificación familiar; Desempleo; En búsqueda de un nuevo empleo,1998,10-14,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Reunificación familiar; En búsqueda de un nuevo empleo,2020,25-29,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Reunificación familiar; Por matrimonio o unión,2015,25-29,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Bajos ingresos,2022,15-19,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Bajos ingresos; Desempleo; En búsqueda de un nuevo empleo,2011,15-19,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Bajos ingresos; Desempleo; En búsqueda de un nuevo empleo,2013,20-24,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Bajos ingresos; Desempleo; En búsqueda de un nuevo empleo,2018,20-24,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Bajos ingresos; Desempleo; En búsqueda de un nuevo empleo,2021,40-44,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Bajos ingresos; Desempleo; En búsqueda de un nuevo empleo,2022,35-39,111.7494636,Atlántida,HNAT
1,101,female,urban,Bajos ingresos; Desempleo; En búsqueda de un nuevo empleo; Falta de acceso a servicios de salud; Falta de acceso a servicios básicos,2010,30-34,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Desempleo,1993,40-44,111.7494636,Atlántida,HNAT
1,101,female,urban,Desempleo,2018,20-24,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Desempleo,2018,25-29,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Desempleo,2022,25-29,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Desempleo; En búsqueda de un nuevo empleo,1980,30-34,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Desempleo; En búsqueda de un nuevo empleo,2013,30-34,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Desempleo; En búsqueda de un nuevo empleo,2014,25-29,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Desempleo; En búsqueda de un nuevo empleo,2017,20-24,591.9311469999999,Atlántida,HNAT
1,101,female,urban,Desempleo; En búsqueda de un nuevo empleo,2019,20-24,186.24910599999998,Atlántida,HNAT
1,101,female,urban,Desempleo; En búsqueda de un nuevo empleo,2019,30-34,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Desempleo; En búsqueda de un nuevo empleo,2022,20-24,93.12455299999999,Atlántida,HNAT
1,101,female,urban,Desempleo; En búsqueda de un nuevo empleo,2022,30-34,111.7494636,Atlántida,HNAT
1,101,female,urban,Desempleo; En búsqueda de un nuevo empleo,2022,50-54,111.7494636,Atlántida,HNAT
1,101,female,urban,Desempleo; En búsqueda de un nuevo empleo,2023,15-19,93.12455299999999,Atlántida,HNAT
1,101,female,urban,En búsqueda de un nuevo empleo,2010,25-29,93.12455299999999,Atlántida,HNAT
1,101,female,urban,En búsqueda de un nuevo empleo,2011,20-24,139.6868295,Atlántida,HNAT
